datetime,created_at,updated_at,timestamp,zone_name,carbon_intensity_avg,carbon_intensity_production_avg,carbon_intensity_discharge_avg,carbon_intensity_import_avg,carbon_rate_avg,total_production_avg,total_storage_avg,total_discharge_avg,total_import_avg,total_export_avg,total_consumption_avg,production_sources,power_origin_percent_fossil_avg,power_origin_percent_renewable_avg,power_production_percent_fossil_avg,power_production_percent_renewable_avg,power_production_nuclear_avg,power_production_geothermal_avg,power_production_biomass_avg,power_production_coal_avg,power_production_wind_avg,power_production_solar_avg,power_production_hydro_avg,power_production_gas_avg,power_production_oil_avg,power_production_unknown_avg,power_consumption_nuclear_avg,power_consumption_geothermal_avg,power_consumption_biomass_avg,power_consumption_coal_avg,power_consumption_wind_avg,power_consumption_solar_avg,power_consumption_hydro_avg,power_consumption_gas_avg,power_consumption_oil_avg,power_consumption_unknown_avg,power_consumption_battery_discharge_avg,power_consumption_hydro_discharge_avg,carbon_origin_percent_nuclear_avg,carbon_origin_percent_geothermal_avg,carbon_origin_percent_biomass_avg,carbon_origin_percent_coal_avg,carbon_origin_percent_wind_avg,carbon_origin_percent_solar_avg,carbon_origin_percent_hydro_avg,carbon_origin_percent_gas_avg,carbon_origin_percent_oil_avg,carbon_origin_percent_unknown_avg,carbon_origin_percent_battery_discharge_avg,carbon_origin_percent_hydro_discharge_avg,power_net_discharge_battery_avg,power_net_discharge_hydro_avg,power_net_import_BE_avg,carbon_intensity_exchange_BE_avg,power_net_import_FR_avg,carbon_intensity_exchange_FR_avg,power_net_import_GB-NIR_avg,carbon_intensity_exchange_GB-NIR_avg,power_net_import_GB-ORK_avg,carbon_intensity_exchange_GB-ORK_avg,power_net_import_IE_avg,carbon_intensity_exchange_IE_avg,power_net_import_NL_avg,carbon_intensity_exchange_NL_avg,power_net_import_NO-NO2_avg,carbon_intensity_exchange_NO-NO2_avg,latest_forecasted_wind_x_avg,latest_forecasted_wind_y_avg,latest_forecasted_solar_avg,latest_forecasted_temperature_avg,latest_forecasted_dewpoint_avg,latest_forecasted_precipitation_avg,latest_forecasted_price_avg,latest_forecasted_production_avg,latest_forecasted_consumption_avg,latest_forecasted_power_net_import_BE_avg,latest_forecasted_power_net_import_FR_avg,latest_forecasted_power_net_import_GB-NIR_avg,latest_forecasted_power_net_import_GB-ORK_avg,latest_forecasted_power_net_import_IE_avg,latest_forecasted_power_net_import_NL_avg,latest_forecasted_power_net_import_NO-NO2_avg,latest_forecasted_production_solar_avg,latest_forecasted_production_wind_avg
2018-01-01T00:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514764800,GB,168.78,170.62,,153.37,,23821.37,0,0,2751,0,26572.37,bmreports.com,27.9,41.47,28.1,41.39,7265.5,,729.5,1225.5,8778.37,0,351.5,5382,0,89,8138.07,0.01,774.14,1337.82,9678.43,0.02,564.27,5684.19,9.69,385.23,0,0.49,,,,,,,,,,,,,,0,,,1409,52.44,200,290.76,,,432,219.7,710,274.6,,,7.5,0.43,0,279.88,275.9,0.72,47.14,27649,28846,,1407,,,0,720,,0,10705
2018-01-01T01:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514768400,GB,180.38,182.83,297.65,154.5,,24409.83,0,103,2775.5,0,27288.33,bmreports.com,29.41,40.76,29.77,40.62,7259,,756.5,1524,8745.33,0,352,5684.5,0,88.5,8140.32,0.01,801.35,1645.34,9659.64,0.01,559.33,5997.62,9.91,371.76,0,103.03,,,,,,,,,,,,,,103,,,1410,52.87,209.5,305.98,,,432,228.29,724,264.52,,,7.5,0.3,0,279.82,275.82,0.15,54.6,25554,28307,,1407,,,63,720,,0,10832
2018-01-01T02:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514772000,GB,174.42,176.29,,158.09,,23523.67,0,0,2636,0,26159.67,bmreports.com,28.08,40.99,28.26,40.89,7258,,750.5,1542,8531.17,0,335.5,5017.5,0,89,8089.26,0.01,794.46,1671.66,9406.95,0.02,521.34,5336.1,9.53,330.33,0,0,,,,,,,,,,,,,,0,,,1316,53.51,213,319.46,,,432,249.79,675,252.37,,,7.33,0.38,0,279.79,275.77,0.29,46.63,25180,26458,,1307,,,153,671,,0,10836
2018-01-01T03:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514775600,GB,169.41,169.93,,165.56,,22859.96,0,0,2639.75,0,25499.71,bmreports.com,26.74,41.47,26.6,41.66,7254.5,,757,1586.5,8482.46,0,282,4408.5,0,89,8102.05,0.01,799.49,1723.12,9320.37,0.02,454.73,4733.87,9.68,356.38,0,0,,,,,,,,,,,,,,0,,,1318,53.21,212.75,307.52,,,432,285.68,677,263.02,,,7.26,0.54,0,279.79,275.87,0.35,39.9,24263,24577,,1307,,,275,671,,0,10856
2018-01-01T04:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514779200,GB,154.56,153.93,,160.33,,21687.63,0,0,2423.5,0,24111.13,bmreports.com,23.66,42.74,23.38,43.13,7262,,756.5,1440,8322.13,0,275,3543,0,89,8101.81,0.14,795.94,1586.08,9067.49,0.02,440.64,3848.18,9.66,261.16,0,0,,,,,,,,,,,,,,0,,,1318,54.55,212.5,331.03,,,432,299.68,461,253.49,,,6.82,0.67,0,279.76,275.9,0.51,23.41,23567,23164,,1307,,,314,464,,0,10749
2018-01-01T05:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514782800,GB,158.06,159.26,,146.26,,21587.41,0,0,2187,0,23774.41,bmreports.com,23.96,42.04,24.07,42.31,7257.5,,757.5,1564,8108.91,0,267,3543.5,0,89,8084.49,0.16,792.05,1701.09,8766.18,0.02,435.24,3806.42,9.43,179.32,0,0.02,,,,,,,,,,,,,,0,,,1318,54.35,213,329.17,,,432,277.49,224,260.11,,,6.37,0.69,0,279.72,275.96,0.76,23.61,23092,22445,,1307,,,344,223,,0,10530
2018-01-01T06:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514786400,GB,178.43,181.5,297.65,147.48,,22292.54,0,41,2324,0,24657.54,bmreports.com,28.06,39.11,28.47,39.01,7261,,758,1691,7642.04,4,265.5,4582,0,89,8095.4,0.11,793.34,1809.98,8361.91,4.01,440.46,4857.39,9.43,244.5,0,41,,,,,,,,,,,,,,41,,,1319,53.19,207,323.91,,,432,242.06,366,275.86,,,5.84,0.49,0,279.67,276.03,1.04,29.96,22983,22673,,1307,,,385,375,,0,10289
2018-01-01T07:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514790000,GB,193.08,196.89,297.65,131.83,,23232.12,0,10.5,1460,153,24549.62,bmreports.com,31.37,37.14,32.11,36.64,7263.5,,754.5,1656.5,7315.62,0,435,5718,0,89,7729.32,0,767.55,1742.91,7785.24,0.27,555.16,5862.3,5.78,90.64,0,10.44,,,,,,,,,,,,,,10.5,,,821,49.59,207,291.13,,,432,211.8,-153,193.08,,,5.32,0.13,0,279.64,276.09,0.25,24.09,24346,23078,,815,,,253,-189,,0,9928
2018-01-01T08:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514793600,GB,207.19,210.36,297.65,134.66,,23316.69,0,306,1349.5,123,24849.19,bmreports.com,33.89,35.21,34.68,34.54,7265.5,,757.5,1589,6717.69,5.5,371.5,6521.5,0,88.5,7673.03,0,768.65,1672.51,7180.83,10.17,482.85,6662.22,4.96,89.46,0,304.5,,,,,,,,,,,,,,306,,,710,48.33,207.5,265.8,,,432,213.55,-123,207.19,,,4.93,-0.3,0,279.64,276.14,0.48,24.14,25360,24484,,716,,,179,-144,,88,9523
2018-01-01T09:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514797200,GB,224.07,231.35,297.65,128.96,,25119.73,0,450.5,2197.5,0,27767.73,bmreports.com,37.63,33.23,39.09,32.47,7263,,751.5,1613.5,6280.73,326.5,488,8308,0,88.5,8083.82,0.18,784.06,1705.4,6959.87,358.06,667.19,8545.13,8.96,203,0,452.07,,,,,,,,,,,,,,450.5,,,1315,53.7,207.5,273.68,,,432,203.44,243,280.23,,,4.54,-0.08,0.53,279.69,276.48,0.59,42,26266,27269,,1310,,,180,227,,435,9093
2018-01-01T10:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514800800,GB,234.73,245.08,297.65,133.49,,27273.01,0,505.5,3074.25,0,30852.76,bmreports.com,40.24,32.56,42.22,31.63,7260,,746.5,1635,6152.01,776.5,603.5,10010.5,0,89,8385.01,0.33,796.07,1728.38,7050.8,853.25,836.83,10298.75,12.11,382.56,0,508.66,,,,,,,,,,,,,,505.5,,,1818,56.93,193.25,256.01,,,432,186.79,631,280.07,,,4.93,-0.74,8.26,279.92,276.58,0.72,57,28180,30585,,1803,,,18,621,,1007,8888
2018-01-01T11:00:00+00:00,2021-06-17T09:20:02.179572+00:00,2021-06-17T09:20:02.179572+00:00,1514804400,GB,248.93,259.99,297.65,141.3,,29731.5,0,480.5,3258.25,0,33470.25,bmreports.com,43.49,31.48,45.54,30.43,7259,,756.5,1720.5,6037.5,1285,632.5,11951.5,0,89,8378.19,0.25,809.38,1804.27,6976.92,1375.64,887.66,12233.5,12.07,507.61,0,484.75,,,,,,,,,,,,,,480.5,,,1818,56.89,125.25,250.37,,,418,175.41,897,281.17,,,5.43,-1.41,22.88,280.22,276.7,0.87,43.4,31472,33003,,1803,,,-168,917,,1540,8683
