name,S0.Fossil fuels,S1.No TES,S2.No TES,S3.TES=2h,S4.TES=4h,S5.TES=6h,S6.TES=12h,S7.TES=24h,S8.TES=36h,S9.TES=48h,S10.TES=60h
GHG emissions MtonnesCO2eq,6.5,2.349976437532006,1.997887370924816,1.9878311245879363,1.983355715381922,1.9808430841521856,1.9600671830190544,2.0124360557658636,2.082136783700685,2.1248791905252142,2.176398200064098
GHG emissions MtonnesCO2eq,100.0%,36.153%,30.737%,30.582%,30.513%,30.475%,30.155%,30.961%,32.033%,32.69%,33.483%
Marginal GHG emissions MtonnesCO2eq,6.5,4.5034486422571645,3.8571308837656213,3.8957394472069238,3.9170306989456427,3.939923289283543,4.021898146001654,4.179542698051903,4.330772924442487,4.446679555524295,4.560949828207176
Maximum power demand of additional heating load (MW),,2776.747621379495,2336.7263724833756,2063.3484353641343,2180.7289230898714,2297.978351182068,2768.807913082416,2886.477278807339,2886.5719116652303,3003.464954650333,3004.1352136641344
Maximum power demand of total consumption,,59834.26495881871,59788.3416361357,59596.44142654848,59561.026066625265,59936.16718540522,59423.51479130764,60103.683424677845,60103.75924797368,60136.798148479655,60136.9078842541
99th percentile of the power demand of total consumption,,48813.2901199247,48477.44019128135,48388.090604288285,48443.02149188686,48076.28884108716,47921.78425526466,47719.034662619844,47750.424177674926,47810.647346143305,47864.115866106185
Increase in maximum power demand (99th percentile MW),,1985.785219924699,1649.9352912813483,1560.5857042882853,1615.5165918868588,1248.7839410871602,1094.2793552646617,891.5297626198444,922.919277674926,983.1424461433053,1036.6109661061855
Increase in maximum power demand (99th percentile %),nan%,4.24%,3.52%,3.33%,3.45%,2.67%,2.34%,1.9%,1.97%,2.1%,2.21%
Additional electricity load of heating GWh,,8362.19629620236,7165.143124487119,7236.784566101657,7272.5113957661315,7307.242190716582,7452.93541989672,7739.0769135011205,8025.861154295893,8240.74848975951,8455.202920651096
Electricity consumption (without heating) GWh,,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323,284024.55323
